birdname,filename,region,invivoenz,postinjtime,ichenz,cellnumb,pnnarea,nucarea,gaparea
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,1,1252.231,3984.236,199.286
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,2,123.438,3896.49,932.481
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,3,1484.235,2086.556,72.873
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,4,1329.566,5465.497,0
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,5,1710.291,6116.895,0
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,6,2303.689,4125.521,127.9
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,7,69.899,3771.565,563.653
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,8,502.677,1856.038,471.445
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,9,3044.32,4976.205,0
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,10,1801.01,2730.518,215.645
W79,zf_15_174_40x_rh08and09_levels_draw_GAP.tif (red),RA,1,3,1,11,597.858,3045.806,615.705
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,1,175.49,6423.26,529.447
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,2,1045.509,4170.137,230.518
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,3,632.066,3386.377,394.11
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,4,1011.303,3240.631,0
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,5,791.197,2748.364,0
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,6,2560.975,7218.917,783.76
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,7,2430.101,1751.933,264.723
W79,zf_15_174_40x_rh10and11_levels_draw_GAP.tif (red),RA,1,3,1,8,123.438,2141.582,516.062
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,1,950.327,5029.744,2256.097
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,2,1322.129,3372.992,5676.681
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,3,1763.831,5023.795,5514.575
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,4,3243.604,4094.289,3567.817
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,5,785.246,4889.946,4143.367
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,6,2587.745,4873.587,594.884
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,7,3362.579,4085.366,145.747
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,8,2897.085,4852.766,2842.058
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,9,1207.614,4671.327,3670.434
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,10,1887.271,4189.471,2415.229
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,11,1377.155,5919.096,1513.98
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,12,1308.744,2657.644,1977.99
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,13,690.065,2853.956,1781.678
W79,zf_15_174_40x_rh221and222_levels_draw_GAP.tif (red),RA,1,3,0,14,820.939,3811.719,5300.416
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,1,255.799,4421.475,4580.607
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,2,840.272,1616.597,1142.177
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,3,1393.517,3355.146,150.208
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,4,704.938,4088.34,1195.716
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,5,1238.845,3616.895,2792.98
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,6,,3776.026,0
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,7,2721.593,6704.343,4698.096
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,8,1756.395,4269.78,2104.403
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,9,852.172,3187.091,861.095
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,10,759.964,4434.86,3050.267
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,11,1921.475,6122.844,5706.425
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,12,977.097,3372.992,852.171
W79,zf_15_174_40x_rh223and224_levels_draw_GAP.tif (red),RA,1,3,0,13,1980.964,4995.538,3142.475
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,1,758.478,2684.414,1339.977
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,2,261.749,2101.428,459.548
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,3,1979.477,4400.654,960.738
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,4,2202.558,4135.931,50.565
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,5,942.892,1658.239,715.348
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,6,1961.629,2989.292,1906.603
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,7,1875.372,4715.943,0
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,8,1143.665,1766.805,1679.06
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,9,3042.832,4509.221,1366.746
zf_16_06,zf_16_06_40x_rh218and219_levels_draw_GAP.tif (red),RA,1,2,1,10,693.04,4704.045,0
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,1,481.856,3767.103,1802.499
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,2,718.324,4364.961,843.248
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,3,559.192,3201.963,264.724
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,4,962.225,3347.71,563.652
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,5,945.865,3417.609,2.974
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,6,2477.691,3111.243,205.235
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,7,892.326,3993.159,0
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,8,975.61,5483.343,129.387
zf_16_06,zf_16_06_40x_rh222and223_levels_draw_GAP.tif (red),RA,1,2,1,9,1128.793,2702.261,290.006
zf_16_06,zf_16_06_40x_rh202and203_levels_draw_GAP.tif (red),RA,1,2,0,1,575.55,2629.387,434.266
zf_16_06,zf_16_06_40x_rh202and203_levels_draw_GAP.tif (red),RA,1,2,0,2,260.261,2666.568,316.775
zf_16_06,zf_16_06_40x_rh202and203_levels_draw_GAP.tif (red),RA,1,2,0,3,66.924,3652.588,4533.016
zf_16_06,zf_16_06_40x_rh241and242_levels_draw_GAP.tif (red),RA,1,2,0,1,749.554,3905.413,835.812
zf_16_06,zf_16_06_40x_rh241and242_levels_draw_GAP.tif (red),RA,1,2,0,2,917.609,2928.316,4149.316
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,1,3787.924,4457.168,4028.852
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,2,10813.505,3908.388,7848.007
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,3,3429.507,3838.489,3109.756
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,4,3578.228,4339.679,3903.927
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,5,5385.188,3938.132,2140.095
zf_16_06,zf_16_06_40x_rh243and244_levels_draw_GAP.tif (red),RA,1,2,0,6,1299.82,3604.997,1307.258
zf_16_06,zf_16_06_40x_rh251and252_levels_draw_GAP.tif (red),RA,1,2,0,1,266.21,5096.669,8777.513
zf_16_06,zf_16_06_40x_rh251and252_levels_draw_GAP.tif (red),RA,1,2,0,2,5994.945,7079.12,5551.755
zf_16_06,zf_16_06_40x_rh251and252_levels_draw_GAP.tif (red),RA,1,2,0,3,2910.469,6219.512,9129.982
zf_16_06,zf_16_06_40x_rh251and252_levels_draw_GAP.tif (red),RA,1,2,0,4,3621.356,4457.168,2760.261
zf-16-14,zf_16_14_controlpnnmalerh632and633_levels_draw_GAP.tif (red),RA,0,0,1,1,382.217,8395.3,1020.225
zf-16-14,zf_16_14_controlpnnmalerh632and633_levels_draw_GAP.tif (red),RA,0,0,1,2,5623.137,8817.668,350.982
zf-16-14,zf_16_14_controlpnnmalerh632and633_levels_draw_GAP.tif (red),RA,0,0,1,3,5288.52,11735.574,1347.412
zf-16-14,zf_16_14_controlpnnmalerh632and633_levels_draw_GAP.tif (red),RA,0,0,1,4,382.211,9204.343,2373.587
zf-16-14,zf_16_14_controlpnnmalerh632and633_levels_draw_GAP.tif (red),RA,0,0,1,5,867.042,6964.604,1212.076
zf-16-14,zf_16_14_controlpnnmalerh636and637_levels_draw_GAP.tif (red),RA,0,0,1,1,1393.517,7116.3,618.679
zf-16-14,zf_16_14_controlpnnmalerh636and637_levels_draw_GAP.tif (red),RA,0,0,1,2,748.066,3832.54,0
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,1,581.5,9237.061,913.147
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,2,4588.045,9736.764,624.629
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,3,9626.71,8796.847,942.892
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,4,14259.372,11606.187,1564.545
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,5,1615.111,7947.65,1671.624
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,6,1420.285,8252.528,1859.012
zf-16-14,zf_16_14_controlpnnmalerh634and635_levels_draw_GAP.tif (red),RA,0,0,1,7,1757.881,7080.607,1228.436
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,1,523.499,2897.085,11313.206
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,2,859.607,4421.475,12508.923
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,3,38.667,6983.938,4321.832
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,4,880.428,4021.416,12303.689
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,5,2431.587,16229.923,9248.959
zf-16-14,zf_16_14_controlpnnmalerh849and8550_levels_draw_GAP.tif (red),RA,0,0,0,6,1589.826,16796.55,9882.511
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,1,1290.899,6726.651,14693.635
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,2,942.892,2916.419,0
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,3,814.991,5337.597,11891.731
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,4,133.849,6513.98,4418.501
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,5,1298.334,13829.566,19653.48
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,6,2495.538,16191.255,7391.434
zf-16-14,zf_16_14_controlpnnmalerh851and852_levels_draw_GAP.tif (red),RA,0,0,0,7,3097.857,2400.357,0
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,1,2303.689,10507.139,10251.339
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,2,1381.617,4805.175,22395.895
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,3,3054.732,9323.319,11747.472
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,4,3438.43,4833.432,2055.325
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,5,3294.169,4173.111,3935.158
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,6,10822.427,10184.414,11412.85
zf-16-14,zf_16_14_controlpnnmalerh853and854_levels_draw_NUCLEUS.jpg,RA,0,0,0,7,4095.779,6115.407,5324.212
